Date,Close,TotalValue,Cash,Holdings
2025-04-10,23.7242,67326.6,67326.6,0
2025-04-11,21.3731,67326.6,67326.6,0
2025-04-14,23.5105,67326.6,16.2197,2863
2025-04-15,25.7665,73785.7,16.2197,2863
2025-04-16,28.26,80924.7,16.2197,2863
2025-04-17,28.4975,81604.6,16.2197,2863
2025-04-18,27.0726,77525.2,16.2197,2863
2025-04-21,25.0541,71746,71746,0
2025-04-22,24.1042,71746,71746,0
2025-04-23,24.2229,71746,71746,0
2025-04-24,24.2229,71746,71746,0
2025-04-25,24.2229,71746,71746,0
2025-04-28,24.6978,71746,23.4664,2904
2025-04-29,27.0726,78642.4,23.4664,2904
2025-04-30,26.004,75539,23.4664,2904
2025-05-02,26.4789,76918.3,23.4664,2904
2025-05-05,24.5791,71401.2,71401.2,0
2025-05-06,25.0541,71401.2,71401.2,0
2025-05-07,24.9353,71401.2,71401.2,0
2025-05-08,22.4418,71401.2,71401.2,0
2025-05-09,21.4919,71401.2,71401.2,0
2025-05-12,20.8744,71401.2,71401.2,0
2025-05-13,20.6607,71401.2,71401.2,0
2025-05-14,20.9932,71401.2,71401.2,0
2025-05-15,20.6607,71401.2,71401.2,0
2025-05-16,20.4945,71401.2,71401.2,0
2025-05-19,18.7846,71401.2,71401.2,0
2025-05-20,17.7872,71401.2,71401.2,0
2025-05-21,18.8321,71401.2,71401.2,0
2025-05-22,18.8559,71401.2,71401.2,0
2025-05-23,20.7319,71401.2,0.386339,3444
2025-05-26,21.0169,72382.7,0.386339,3444
2025-05-27,19.8533,68375.1,68375.1,0
2025-05-28,19.8533,68375.1,68375.1,0
2025-05-29,19.6158,68375.1,68375.1,0
2025-06-02,19.0458,68375.1,68375.1,0
2025-06-03,19.2358,68375.1,68375.1,0
2025-06-04,19.2358,68375.1,68375.1,0
2025-06-05,18.9983,68375.1,68375.1,0
2025-06-06,19.2358,68375.1,10.926,3554
2025-06-09,18.9983,67531,67531,0
2025-06-10,18.9034,67531,67531,0
2025-06-11,18.2859,67531,67531,0
2025-06-12,17.9534,67531,67531,0
2025-06-13,18.1909,67531,67531,0
2025-06-16,17.9534,67531,67531,0
2025-06-17,17.6922,67531,67531,0
2025-06-18,17.051,67531,67531,0
2025-06-19,18.7371,67531,2.46952,3604
